	L1_CD103	L2_CD103	L3_CD103	L1_DP	L2_DP	L3_DP	L1_DN	L2_DN	L3_DN	L1_CD49a	L2_CD49a	L3_CD49a
Dazap2	25792	17861	17926	26657	22144	20235	25380	18437	20106	26442	25430	26287
Dazl	2	2	0	0	0	0	0	8	5	0	0	0
Dbf4	3000	2735	3775	2711	2371	3538	3620	2680	4562	2575	2728	3907
Dbh	0	0	0	0	0	0	0	0	0	0	0	0
Dbhos	0	0	0	0	0	0	0	1	0	0	0	0
Dbi	1181	1452	1209	1460	985	752	1142	1576	934	973	1175	1015
Dbil5	0	1	0	2	1	1	2	2	1	1	0	2
Dbn1	1	5	32	6	8	10	1	38	3	12	13	5
Dbndd1	3	12	11	7	4	17	1	32	4	2	6	33
Dbndd2	15	0	2	16	11	10	8	7	9	11	8	8
Dbnl	9084	9857	8039	9210	7758	6440	9372	10151	7486	7852	7388	7041
Dbp	210	206	140	275	167	172	234	162	99	178	218	204
Dbpht2	1	0	0	0	0	0	0	0	0	0	0	0
Dbr1	2052	1133	1713	1842	1298	1508	1917	1343	1806	1656	1621	2093
Dbt	693	605	296	492	555	344	465	805	382	456	480	497
Dbx1	0	0	3	0	0	0	0	0	7	1	0	1
Dbx2	0	0	0	0	0	0	0	0	0	0	0	0
Dcaf1	2705	2132	1544	2511	2756	2350	2729	1621	1915	3062	2182	2666
Dcaf10	784	741	781	1126	1127	953	1074	897	735	1053	829	1041
Dcaf11	4937	4467	4306	4740	3918	3454	4673	4419	3824	3769	3774	3730
Dcaf12	2347	2534	1647	3468	2763	2070	2232	2645	1704	2655	2909	2094
Dcaf12l1	0	0	0	0	0	0	0	10	0	0	0	0
Dcaf12l2	0	0	0	0	0	0	0	0	0	0	0	0
Dcaf13	2088	2299	1897	2496	2145	2076	2390	2052	1873	2487	2432	2626
Dcaf15	1502	1371	1239	1315	1212	839	1234	1047	884	959	1035	1063
Dcaf17	1529	1197	1430	1187	1166	871	1299	1187	869	1018	860	882
Dcaf4	1029	971	825	862	669	413	966	837	573	676	552	572
Dcaf5	3480	3009	2678	5008	3917	3348	3479	3544	3080	2815	4249	4159
Dcaf6	710	288	323	364	388	292	379	419	364	281	227	312
Dcaf7	4811	5531	3150	7562	6787	6170	5462	5590	3943	6393	6118	5678
Dcaf8	7459	5386	4619	5946	4911	4491	7298	5793	4387	6160	4676	4542
Dcakd	406	382	408	590	482	291	395	514	214	369	504	340
Dcbld1	0	0	1	14	7	5	0	23	0	6	1	6
Dcbld2	7	13	33	163	121	58	26	21	22	51	80	97
Dcc	0	0	0	0	0	0	0	0	0	0	0	0
Dcdc2a	0	0	0	2	0	0	0	0	0	0	0	0
Dcdc2b	78	80	32	61	91	32	91	48	66	79	54	16
Dcdc2c	0	0	0	0	0	0	0	0	0	0	0	0
Dcdc5	0	0	0	0	0	0	0	0	0	0	0	0
Dchs1	0	0	0	0	0	0	0	7	0	3	0	0
Dchs2	0	0	0	0	0	0	0	0	0	0	0	0
Dck	2497	1522	685	1473	1084	775	2555	2469	1321	1281	1419	805
Dclk1	6	0	0	0	4	0	0	2	0	6	3	0
Dclk2	107	218	117	170	97	169	418	676	138	167	136	160
Dclk3	0	0	0	0	0	0	0	0	0	0	0	0
Dclre1a	169	74	83	271	241	120	254	122	111	244	146	161
Dclre1b	397	418	366	524	617	342	379	309	275	500	421	321
Dclre1c	493	595	688	589	601	608	791	795	541	631	430	356
Dcn	153	35	65	267	28	105	5	58	88	97	43	316
Dcp1a	2864	1844	2303	2315	2439	2318	2021	2368	1911	2587	1772	2070
Dcp1b	905	733	684	709	576	473	937	848	602	787	601	522
Dcp2	443	334	412	325	296	331	447	426	316	359	331	422
Dcpp1	0	0	0	0	0	0	0	0	0	0	0	0
Dcpp2	0	0	0	0	0	0	0	0	0	0	0	0
Dcpp3	0	0	0	0	0	0	0	0	0	0	0	0
Dcps	1188	1254	1015	1774	1546	1126	1342	1284	930	1173	1413	1448
Dcst1	2	3	8	9	8	9	12	5	0	3	6	9
Dcst2	0	1	0	0	1	0	0	0	0	0	0	0
Dcstamp	0	0	0	0	1	0	0	0	0	0	0	0
Dct	0	0	2	0	0	0	0	3	0	0	0	0
Dctd	180	149	111	38	51	37	168	164	138	57	71	60
Dctn1	6398	6043	5106	7274	6497	5222	6347	6534	4618	6010	6129	5915
Dctn2	3641	2564	2432	4582	3905	2823	3910	3046	2042	3777	3197	2979
Dctn3	1978	2435	2163	2444	1951	1491	2222	2172	1665	2233	2075	1993
Dctn4	1274	1355	1540	1896	1664	1628	1391	1412	1273	1450	1439	1784
Dctn5	2825	3516	1940	3569	3279	1997	3145	3623	1914	2705	2728	2212
Dctn6	1778	1337	1107	1835	1464	1223	1753	1521	1088	1610	1478	1361
Dctpp1	280	331	287	400	228	181	261	279	195	319	314	269
Dcun1d1	936	1063	655	876	906	726	1071	1325	701	884	914	937
Dcun1d2	772	1067	511	886	934	602	700	1048	683	706	889	638
Dcun1d3	481	381	293	453	555	406	415	534	276	589	507	496
Dcun1d4	468	345	460	758	743	635	401	411	410	568	544	404
Dcun1d5	3374	3747	3024	4116	3328	2756	3450	3804	2838	3157	3222	3085
Dcx	0	0	0	0	0	0	0	0	0	0	0	0
Dcxr	52	9	32	173	62	83	33	29	18	122	74	131
Dda1	4931	3749	3944	4454	3909	3125	4726	4362	3910	4319	3794	3931
Ddah1	7	7	0	9	0	0	0	0	0	5	11	0
Ddah2	16	61	20	54	49	28	58	260	13	24	62	25
Ddb1	10471	8360	7183	10909	10402	8889	10280	10146	8175	10794	10968	9906
Ddb2	1890	1480	1557	1672	1501	1140	2083	1518	1345	1601	844	993
Ddc	402	382	208	33	11	9	225	93	64	46	29	18
Ddhd1	940	1012	1209	1141	1174	947	1251	1178	880	971	888	1058
Ddhd2	1048	843	970	1715	1426	1545	789	632	721	1083	963	873
Ddi1	0	0	0	0	0	0	0	0	0	0	0	0
Ddi2	1324	1002	1158	1070	1017	1072	952	1138	1080	863	1118	1055
Ddias	292	230	222	258	209	314	397	235	308	358	251	320
Ddit3	505	513	838	1002	950	731	622	628	544	734	739	812
Ddit4	662	503	177	555	402	344	621	1070	140	378	373	306
Ddit4l	0	0	0	4	0	0	0	0	0	0	0	0
Ddn	0	0	1	0	0	1	0	0	1	3	0	1
Ddo	0	0	0	0	3	0	0	0	0	5	0	0
Ddost	6051	5884	5231	8317	6403	5142	6565	5425	5003	6213	6804	6160
Ddr1	377	77	115	74	24	21	237	118	106	106	110	100
Ddr2	0	6	0	7	1	11	0	0	2	0	0	3
Ddrgk1	3486	2583	3253	3586	3063	2581	3067	2059	2421	2907	2744	2711
Ddt	277	320	252	232	150	124	246	261	173	186	225	226
Ddx1	3106	2507	2960	2889	2625	2186	3423	2967	2489	3076	2297	2538
Ddx10	2965	2823	2627	2674	2725	1964	2676	2799	2519	2483	2981	2672
